f5a18c480d77ea4b8e115b1202ceeef9	Blekinge County	2020-03-31	2020-03-31	0	21								
a33d02894717b7b2b070335da050deef	Dalarna County	2020-03-31	2020-03-31	9	97								
d1ca7d0295053dade2b0487098b58625	Gotland County	2020-03-31	2020-03-31	0	11								
6e9c2db734794caa45852861cfc33c90	Halland County	2020-03-31	2020-03-31	7	96								
ae87afc05864ac0953da8abdb92fec4a	Kalmar County	2020-03-31	2020-03-31	1	34								
efc979b94b7a23a008220808f5480f15	Kronoberg County	2020-03-31	2020-03-31	0	34								
e785013c7abdb3c1fb6a6a69e29d482e	Norrbotten County	2020-03-31	2020-03-31	1	51								
4a8fa3eb8190a3ceeebe7e60a7f008a9	Stockholm County	2020-03-31	2020-03-31	103	1979								
6450499a9e98341c292e63190ef5d347	Uppsala County	2020-03-31	2020-03-31	6	183								
c48e3bcc59da6e7a1cff31dd52f46c8a	Abbeville County, South Carolina	2020-03-31			4								https://www.scdhec.gov/monitoring-testing-covid-19
c22e8aefd0015bcf4e8fd333d1ad4f27	Abruzzo	2020-03-31		115	1401	95	8758	1191					http://www.salute.gov.it/nuovocoronavirus
1f03d1f04097bcb43ff0b3dd50dde21c	Acadia Parish, Louisiana	2020-03-31		1	39								http://ldh.la.gov/coronavirus/
132fe4dccc249a965095e128ce3b1748	Accomack County, Virginia	2020-03-31	2020-03-31T09:00:00		7								http://www.vdh.virginia.gov
5323a85a13f09b6b2308f6b84e7d185d	Ada County, Idaho	2020-03-31		3	195								https://coronavirus.idaho.gov/
548cbee3b386cc3b267421d2ee9312fd	Adair County, Oklahoma	2020-03-31			4								https://coronavirus.health.ok.gov/
5988ac0efe7bb9631a735a54e6de2514	Adams County, Colorado	2020-03-31			181								https://covid19.colorado.gov/case-data
53800bdfefb5d9e15592a926306b789c	Adams County, Idaho	2020-03-31		0	1								https://coronavirus.idaho.gov/
f6552b12a425bd48f3cdb7bacf2b5872	Adams County, Illinois	2020-03-31			2								http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus
7e1d691dcbf2c0815818a80c9826ec95	Adams County, Indiana	2020-03-31			1								https://www.in.gov/coronavirus/
919af763c34073c56e4addff2123c91a	Adams County, Nebraska	2020-03-31			3								http://dhhs.ne.gov/pages/coronavirus.aspx#sectionlink3
314053e384f9700f41ac11db0d146859	Adams County, North Dakota	2020-03-31	2020-03-31T16:55:00		0								https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases
80116364883067b5b617728e22d0ea81	Adams County, Ohio	2020-03-31	2020-03-31T14:00:00	0	0								https://coronavirus.ohio.gov
