regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abrantes	Abrantes	2020-04-15	2020-04-14T23:00:00.000Z		4			0			0					https://covid19.min-saude.pt/
Abruzzo	Abruzzo	2020-04-15		240	2274	224	22500	29	8	11	-3	0	8.71	59.29	11.14	http://www.salute.gov.it/
Accomack_County,_Virginia	Accomack County, Virginia	2020-04-15		1	15			0	0		0	0	0.14	0.57		http://www.vdh.virginia.gov/
Acre_(state)	Acre (state)	2020-04-15	2020-04-15T20:30:00.000Z	3	101											https://covid.saude.gov.br/
Ada_County,_Idaho	Ada County, Idaho	2020-04-15	2020-04-15T17:00:00.000Z	9	540											https://coronavirus.idaho.gov/
Adams_County,_Idaho	Adams County, Idaho	2020-04-15	2020-04-15T17:00:00.000Z	0	1											https://coronavirus.idaho.gov/
Adams_County,_Illinois	Adams County, Illinois	2020-04-15			27											http://www.dph.illinois.gov/
Adams_County,_Ohio	Adams County, Ohio	2020-04-15	2020-04-15T14:00:00.000Z	0	3											https://coronavirus.ohio.gov/
Adams_County,_Wisconsin	Adams County, Wisconsin	2020-04-15	2020-04-15T06:00:00.000Z	1	3			0	1		0	1	0.14	0.14		https://www.dhs.wisconsin.gov/
Alaska	Alaska	2020-04-15		9	293	106		8	0		0	0	0.14	9.57		http://www.dhss.alaska.gov/
Albany_County,_New_York	Albany County, New York	2020-04-15	2020-04-15T18:00:00.000Z		581			46	2		10	6	0.71	28.86		https://coronavirus.health.ny.gov/
Albemarle_County,_Virginia	Albemarle County, Virginia	2020-04-15		3	53			3	0		2	0	0.14	1.71		http://www.vdh.virginia.gov/
Albergaria-a-Velha	Albergaria-a-Velha	2020-04-15	2020-04-14T23:00:00.000Z		56			2			2					https://covid19.min-saude.pt/
Alberta	Alberta	2020-04-15	2020-04-15T15:00:00.000Z	48	1996			264	2		264	2				https://www.canada.ca/
Albufeira	Albufeira	2020-04-15	2020-04-14T23:00:00.000Z		59			4			4					https://covid19.min-saude.pt/
Alcanena	Alcanena	2020-04-15	2020-04-14T23:00:00.000Z		4			1			1					https://covid19.min-saude.pt/
Alcochete	Alcochete	2020-04-15	2020-04-14T23:00:00.000Z		10			0			0					https://covid19.min-saude.pt/
Alenquer,_Portugal	Alenquer, Portugal	2020-04-15	2020-04-14T23:00:00.000Z		16			1			1					https://covid19.min-saude.pt/
Alexandria,_Virginia	Alexandria, Virginia	2020-04-15		4	254			7	2		-5	1	0.57	15.86		http://www.vdh.virginia.gov/
Allegany_County,_New_York	Allegany County, New York	2020-04-15	2020-04-15T14:00:00.000Z	1	28		304	0	0		-2	-1	0.14	0.86		https://coronavirus.health.ny.gov/
Allen_County,_Indiana	Allen County, Indiana	2020-04-15	2020-04-15T12:00:00.000Z	15	180		1050									https://coronavirus.in.gov/
Allen_County,_Kansas	Allen County, Kansas	2020-04-15	2020-04-15T10:30:00.000Z		0			0			0			0.0		https://www.coronavirus.kdheks.gov
Almada	Almada	2020-04-15	2020-04-14T23:00:00.000Z		145			-3			-3					https://covid19.min-saude.pt/
Almeida,_Portugal	Almeida, Portugal	2020-04-15	2020-04-14T23:00:00.000Z		6			0			0					https://covid19.min-saude.pt/
Almeirim	Almeirim	2020-04-15	2020-04-14T23:00:00.000Z		13			2			2					https://covid19.min-saude.pt/
Alpine_County,_California	Alpine County, California	2020-04-15	2020-04-13T18:15:00.000Z	0	2	1	10									https://www.alpinecountyca.gov/
Amadora	Amadora	2020-04-15	2020-04-14T23:00:00.000Z		175			10			10					https://covid19.min-saude.pt/
Amarante,_Portugal	Amarante, Portugal	2020-04-15	2020-04-14T23:00:00.000Z		47			6			6					https://covid19.min-saude.pt/
Amares	Amares	2020-04-15	2020-04-14T23:00:00.000Z		30			2			2					https://covid19.min-saude.pt/
Amazonas_(Brazilian_state)	Amazonas (Brazilian state)	2020-04-15	2020-04-15T20:30:00.000Z	106	1554											https://covid.saude.gov.br/
Amelia_County,_Virginia	Amelia County, Virginia	2020-04-15		1	10			1	0		1	0	0.0	0.29		http://www.vdh.virginia.gov/
Anadia,_Portugal	Anadia, Portugal	2020-04-15	2020-04-14T23:00:00.000Z		18			0			0					https://covid19.min-saude.pt/
Andalusia	Andalusia	2020-04-15	2020-06-10T19:42:35.000Z	912	10557			165	47		-58	18	37.14	189.0		https://www.mscbs.gob.es/
Anderson_County,_Kansas	Anderson County, Kansas	2020-04-15	2020-04-15T10:30:00.000Z		0			0			0			0.0		https://www.coronavirus.kdheks.gov
Anderson_County,_Tennessee	Anderson County, Tennessee	2020-04-15	2020-04-15T19:00:00.000Z	1	16	11		1	0	1	1	0	0.0	0.71		https://www.tn.gov/
Antwerp_Province	Antwerp Province	2020-04-15	2020-04-15		4643			175			35			160.57		https://epistat.wiv-isp.be/Covid/
Aosta_Valley	Aosta Valley	2020-04-15		121	958	289	3894	11	3	19	-9	0	2.71	15.43	21.0	http://www.salute.gov.it/
Apulia	Apulia	2020-04-15		288	3184	323	34518	66	10	35	13	-1	9.86	78.57	20.86	http://www.salute.gov.it/
Aragon	Aragon	2020-04-15	2020-06-10T19:42:35.000Z	543	4411			73	29		-20	7	22.57	103.71		https://www.mscbs.gob.es/
Arcos_de_Valdevez	Arcos de Valdevez	2020-04-15	2020-04-14T23:00:00.000Z		44			0			0					https://covid19.min-saude.pt/
Arganil	Arganil	2020-04-15	2020-04-14T23:00:00.000Z		4			0			0					https://covid19.min-saude.pt/
Arizona	Arizona	2020-04-15	2020-04-15T00:00:00.000Z	142	3962											https://azdhs.gov/
Arlington_County,_Virginia	Arlington County, Virginia	2020-04-15		14	420			19	2		8	1	1.29	23.71		http://www.vdh.virginia.gov/
Arouca,_Portugal	Arouca, Portugal	2020-04-15	2020-04-14T23:00:00.000Z		27			-1			-1					https://covid19.min-saude.pt/
Ashe_County,_North_Carolina	Ashe County, North Carolina	2020-04-15			4											https://www.ncdhhs.gov/
Ashland_County,_Ohio	Ashland County, Ohio	2020-04-15	2020-04-15T14:00:00.000Z	0	6											https://coronavirus.ohio.gov/
Ashtabula_County,_Ohio	Ashtabula County, Ohio	2020-04-15	2020-04-15T14:00:00.000Z	3	36			4	1		3	1	0.43	2.29		https://coronavirus.ohio.gov/
Assumption_Parish,_Louisiana	Assumption Parish, Louisiana	2020-04-15		1	129											http://ldh.la.gov/
Asturias	Asturias	2020-04-15	2020-06-10T19:42:35.000Z	176	2110			21	4		-38	-3	9.0	48.0		https://www.mscbs.gob.es/
Atchison_County,_Kansas	Atchison County, Kansas	2020-04-15	2020-04-15T10:30:00.000Z		3			0			0			0.14		https://www.coronavirus.kdheks.gov
Athens_County,_Ohio	Athens County, Ohio	2020-04-15	2020-04-15T14:00:00.000Z	1	3											https://coronavirus.ohio.gov/
Augusta_County,_Virginia	Augusta County, Virginia	2020-04-15	2020-04-15T10:00:00.000Z	0	18			1	0		1	0	0.0	0.71		http://www.vdh.virginia.gov/
Australia	Australia	2020-04-15	2020-04-15T15:00:00.000Z	63	6447		371000	47		0	6	0	1.86	62.0		https://www.health.gov.au/
Australian_Capital_Territory	Australian Capital Territory	2020-04-15	2020-04-14T05:00:00.000Z		103											https://www.health.gov.au/
Austria	Austria	2020-04-15	2020-04-15T00:00:00.000Z	346	14335	8098	156801									https://info.gesundheitsministerium.at/
Auvergne-Rh%C3%B4ne-Alpes	Auvergne-Rhône-Alpes	2020-04-15		885		3317			49	236		7	33.0		141.0	https://www.santepubliquefrance.fr/
Aveiro,_Portugal	Aveiro, Portugal	2020-04-15	2020-04-14T23:00:00.000Z		203			33			33					https://covid19.min-saude.pt/
Azambuja	Azambuja	2020-04-15	2020-04-14T23:00:00.000Z		4											https://covid19.min-saude.pt/
Azerbaijan	Azerbaijan	2020-04-15	2020-04-15T00:00:00.000Z	13	1253	404										https://its.gov.az/
Bahia	Bahia	2020-04-15	2020-04-15T20:30:00.000Z	27	807											https://covid.saude.gov.br/
Balearic_Islands	Balearic Islands	2020-04-15	2020-06-10T19:42:35.000Z	131	1636			31	6		-3	-1	6.0	26.86		https://www.mscbs.gob.es/
Bangladesh	Bangladesh	2020-04-15	2020-04-15T08:00:00.000Z	50	1231	49	14868									https://www.iedcr.gov.bd/
Bannock_County,_Idaho	Bannock County, Idaho	2020-04-15	2020-04-15T17:00:00.000Z	0	5			0	0		0	0	0.0	0.0		https://coronavirus.idaho.gov/
Barbour_County,_West_Virginia	Barbour County, West Virginia	2020-04-15	2020-04-15T10:00:00.000Z		4											https://dhhr.wv.gov/
Barron_County,_Wisconsin	Barron County, Wisconsin	2020-04-15	2020-04-15T06:00:00.000Z	0	6			0	0		0	0	0.0	0.14		https://www.dhs.wisconsin.gov/
Basilicata	Basilicata	2020-04-15		21	320	38	5037	1	2	3	1	1	1.0	3.29	3.57	http://www.salute.gov.it/
Basque_Country_(autonomous_community)	Basque Country (autonomous community)	2020-04-15	2020-06-10T19:42:35.000Z	956	11203			189	54		20	11	38.14	209.0		https://www.mscbs.gob.es/
Batalha,_Portugal	Batalha, Portugal	2020-04-15	2020-04-14T23:00:00.000Z		4			0			0					https://covid19.min-saude.pt/
Bath_and_North_East_Somerset	Bath and North East Somerset	2020-04-15			159			8			-1			8.86		https://www.gov.uk/
